,source,ref,cand,qual,target,data,2gramBleu,3gramBleu,4gramBleu
10,梅 丽 安 在 一年 前 就 抛 夫 而 去 .,meriam abandoned her husband a year ago .,meriam left her husband a year ago .,0.8750,1,梅 丽 安 在 一年 前 就 抛 夫 而 去 . meriam left her husband a year ago .,0.7905694150420949,0.7490836021568807,0.7071067811865475
11,"强 生 说 : "" 她 已经 沈 沦 到底 了 . """,""" she's gone off the deep end , "" johnson says .","johnson said , "" she's gone off the deep end . """,0.9167,1,"强 生 说 : "" 她 已经 沈 沦 到底 了 . "" johnson said , "" she's gone off the deep end . """,0.7637626158259733,0.6659055636437068,0.6000342906130847
12,欧 元 区 本 周 经济 指标 将 显示 欧洲 经济 持续 疲 弱,this week's eurozone economic indicators to show continuous economic weakening in europe,euro zone economic targets this week will demonstrate the continued weakness in ,0.2500,0,欧 元 区 本 周 经济 指标 将 显示 欧洲 经济 持续 疲 弱 euro zone economic targets this week will demonstrate the continued weakness in ,7.165741990418252e-155,5.4839821500978084e-204,1.2627076138080564e-231
13,"经济学家 说 , 欧 元 区 本 周 将 公布 的 经济 指标 , 将 显示 出 经济 信心 疲 弱 及 经济 产 出 减缓 的 进一步 证据 , 另一方面 英国 的 资料 则 预期 将 显示 工业 活动 增加 .","economists said that eurozone economic indicators to be released this week will provide further evidence of weak economic confidence and slowing economic output , while british data is expected to show a pick-up in industrial activities .","economists said that the economic indicators to be announced by eurozone this week would provide further evidence of weak economic confidence and slowing economic output , while british data is expected to show a growth in industrial activities .",0.8718,1,"经济学家 说 , 欧 元 区 本 周 将 公布 的 经济 指标 , 将 显示 出 经济 信心 疲 弱 及 经济 产 出 减缓 的 进一步 证据 , 另一方面 英国 的 资料 则 预期 将 显示 工业 活动 增加 . economists said that the economic indicators to be announced by eurozone this week would provide further evidence of weak economic confidence and slowing economic output , while british data is expected to show a growth in industrial activities .",0.801483105680312,0.7386418371110929,0.6775502177958139
14,"他们 说 , 欧 元 区 最 大 国家 的 经济 产 出 数据 将 持续 显示 每 个 月 波动 极大 , 但是 经济 产 出 的 长期 趋势 将 显示 经济 成长 趋 缓 .","they said economic output data from the largest eurozone countries will continue to be volatile from one month to the next , but the longer-term trend of output will point to slowing economic growth .","they said that economic output data from the largest eurozone countries will continue to show great volatility every month , but the long-term trend will demonstrate a slow down in economic growth .",0.6275,1,"他们 说 , 欧 元 区 最 大 国家 的 经济 产 出 数据 将 持续 显示 每 个 月 波动 极大 , 但是 经济 产 出 的 长期 趋势 将 显示 经济 成长 趋 缓 . they said that economic output data from the largest eurozone countries will continue to show great volatility every month , but the long-term trend will demonstrate a slow down in economic growth .",0.5261434075324982,0.45550154732863646,0.3902937157603554
15,"本 周 最 重要 的 经济 指标 将 在 德国 , 市场 密切 注意 的 ZEW 经济 研究所 预定 七日 发布 的 经济 预期 指标 , 将 提供 欧洲 十二月份 第 一个 经济 信心 的 证据 .","the most important economic indicators of the week will be in germany , where the zew institute's economic expectations index , which is due on the 7th and is closely watched by the market , will offer europe its first evidence of economic confidence in december .","this week will be the most important economic indicator in germany , the market closely ZEW economic research institute , the economy is expected to be issued in december , will provide the first economic confidence . ",0.5569,0,"本 周 最 重要 的 经济 指标 将 在 德国 , 市场 密切 注意 的 ZEW 经济 研究所 预定 七日 发布 的 经济 预期 指标 , 将 提供 欧洲 十二月份 第 一个 经济 信心 的 证据 . this week will be the most important economic indicator in germany , the market closely ZEW economic research institute , the economy is expected to be issued in december , will provide the first economic confidence . ",0.35590258043648526,0.22594690021976283,0.12579353459445278
16,"ZEW 指数 十一月 由 前 月 的 三十 一点 三 , 大 幅 跌 至 十三点 九 .",the zew index fell sharply to 13.9 in november from 31.3 the previous month .,the zew index plummeted to 13.9 in november from 31.3 in the previous month .,0.8667,1,"ZEW 指数 十一月 由 前 月 的 三十 一点 三 , 大 幅 跌 至 十三点 九 . the zew index plummeted to 13.9 in november from 31.3 in the previous month .",0.7867957924694432,0.6959050465952276,0.5773502691896257
17,"经济学家 说 , 欧 元 的 大 幅 升值 将 在 近期 的 调查 中 持续 对 经济 信心 产生 影响 , 因此 没有 理由 预 估 经济 预期 指标 会 反 弹回 升 .","economists said the significant appreciation of the euro will have continued to weigh on economic confidence in the latest survey , so there is no reason to expect any rebound in the economic expectations index .","economists said that the sharp appreciation of the euro will be sustained in a recent survey on economic confidence , there is no reason to predict the economy rebounded indicators would be expected . ",0.5824,0,"经济学家 说 , 欧 元 的 大 幅 升值 将 在 近期 的 调查 中 持续 对 经济 信心 产生 影响 , 因此 没有 理由 预 估 经济 预期 指标 会 反 弹回 升 . economists said that the sharp appreciation of the euro will be sustained in a recent survey on economic confidence , there is no reason to predict the economy rebounded indicators would be expected . ",0.4281777497916621,0.33917653205727544,0.2603043160678678
18,"BNP 的 经济学家 说 : "" 考 量 导致 经济 信心 下滑 的 主要 因素 , 包括 欧 元 升值 , 全球 经济 的 不 确定 因素 及 德国 就业 市场 恶化 的 失业率 等 , 都 对 十二月 调查 期间 的 未来 成长 预期 产生 拖累 , 因此 指数 强劲 反 弹 是 不 太 可能 的 . """,""" given that the main factors driving down economic confidence , including the euro's appreciation , uncertainty over global growth and the weak labor market and worsening unemployment in germany , have remained a drag on future growth expectations over the december survey period , a strong rebound is unlikely , "" bnp's economists said .","BNP economist said : "" in economic confidence in the main factors , including the appreciation of the euro , global economic uncertainty and german job market , the unemployment rate during the december survey expected growth in the future , the index rebounded strongly was unlikely . "" ",0.5131,0,"BNP 的 经济学家 说 : "" 考 量 导致 经济 信心 下滑 的 主要 因素 , 包括 欧 元 升值 , 全球 经济 的 不 确定 因素 及 德国 就业 市场 恶化 的 失业率 等 , 都 对 十二月 调查 期间 的 未来 成长 预期 产生 拖累 , 因此 指数 强劲 反 弹 是 不 太 可能 的 . "" BNP economist said : "" in economic confidence in the main factors , including the appreciation of the euro , global economic uncertainty and german job market , the unemployment rate during the december survey expected growth in the future , the index rebounded strongly was unlikely . "" ",0.25529930877266416,0.156161493036379,2.905850471656978e-78
19,"根据 法新社 的 财经 新闻 AFX 新闻 向 经济学家 所 做 的 调查 , 这 项 指标 在 十二月 将 会 由 前 月 的 十三点 九 , 再次 下滑 至 十一 .","according to a survey among economists conducted by afx news , the afp financial news subsidiary , the index will drop again to 11.0 in december from 13.9 in the previous month .","according to a survey conducted by afx news , the afp financial news subsidiary , economists believed that this index would drop again to 11 in december from 13.9 in the prior month .",0.8235,1,"根据 法新社 的 财经 新闻 AFX 新闻 向 经济学家 所 做 的 调查 , 这 项 指标 在 十二月 将 会 由 前 月 的 十三点 九 , 再次 下滑 至 十一 . according to a survey conducted by afx news , the afp financial news subsidiary , economists believed that this index would drop again to 11 in december from 13.9 in the prior month .",0.7239227659930267,0.6427720387652699,0.5643434728899298
20,"但是 UBS 投资银行 的 提 瑟 说 , 德国 ZEW 经济 预期 指标 十二月 甚至 可能 跌 到 零 .","however , teather of ubs investment bank said germany's zew economic expectations index could drop as far as zero in december .","nevertheless , teather of ubs investment bank said that the zew economic expectations index of germany might even fall to zero in december .",0.6250,1,"但是 UBS 投资银行 的 提 瑟 说 , 德国 ZEW 经济 预期 指标 十二月 甚至 可能 跌 到 零 . nevertheless , teather of ubs investment bank said that the zew economic expectations index of germany might even fall to zero in december .",0.5710402407201607,0.5143995434669946,0.4418463817237387
21,"提 瑟 说 : "" 德国 经济活动 的 未来 预期 , 依 我们 的 看法 , 从 ZEW 对 分析 师 及 金融 市场 参与 者 的 调查 所 反映 , 将 会 持续 下跌 . """,""" expectations of future german economic activity , as reflected in the zew survey of analysts and financial market participants , will continue to fall in our view , "" said teather .","teather said , "" according to our view , expectations of future german economic activity , as reflected in the zew survey of analysts and financial market participants , will continue to fall . """,0.9143,1,"提 瑟 说 : "" 德国 经济活动 的 未来 预期 , 依 我们 的 看法 , 从 ZEW 对 分析 师 及 金融 市场 参与 者 的 调查 所 反映 , 将 会 持续 下跌 . "" teather said , "" according to our view , expectations of future german economic activity , as reflected in the zew survey of analysts and financial market participants , will continue to fall . """,0.8361576788295053,0.7888070548398968,0.7519948984927676
22,乌克兰 危机 引发 东西 紧张 将 成 欧 安 组织 议题,ukraine crisis causing tensions between east and west to dominate osce meeting,ukrainian crisis creates east-west tensions ; expected to be on osce meeting agenda,0.3846,1,乌克兰 危机 引发 东西 紧张 将 成 欧 安 组织 议题 ukrainian crisis creates east-west tensions ; expected to be on osce meeting agenda,0.17902871850985821,9.58412890640834e-103,6.311514251575017e-155
23,"俄罗斯 多次 指控 西方 插手 东欧 事务 , 此事 因为 乌克兰 的 政治危机 益 成 关注 焦点 , 而且 在 明天 召开 的 欧洲 安全 暨 合作 组织 的 年度 部长会议 势 将 成为 主要 议题 .","russia has been accusing the west of interfering in the affairs of eastern europe , which has gradually become a focus due to the political crisis in ukraine and is expected to top the agenda of the annual ministerial meeting of the organization for security and cooperation in europe ( osce ) , which will open tomorrow .","russia has repeatedly accused the western and eastern european affairs in the interests of the political crisis since ukraine became the focus of concern , and in the future european security and cooperation in the annual ministerial meeting of the organization will become the main question . ",0.5388,0,"俄罗斯 多次 指控 西方 插手 东欧 事务 , 此事 因为 乌克兰 的 政治危机 益 成 关注 焦点 , 而且 在 明天 召开 的 欧洲 安全 暨 合作 组织 的 年度 部长会议 势 将 成为 主要 议题 . russia has repeatedly accused the western and eastern european affairs in the interests of the political crisis since ukraine became the focus of concern , and in the future european security and cooperation in the annual ministerial meeting of the organization will become the main question . ",0.36181906106174927,0.2673938641567588,0.20208269454450262
24,"西方 的 势力 逐渐 伸 入 欧洲 一些 原本 被 俄国 视为 其 后院 的 角落 , 例如 波罗的海 各国 , 乔治亚 和 中亚 , 早已 令 俄国 颇为 不满 , 因此 欧 安 组织 这 次 在 保加利亚 首都 索非亚 举行 两天 会议 时 , 乌克兰 最近 的 事件 可能 成为 重要 议题 .","russia is irritated by the creeping influence of the west into corners of europe it previously considered its backyard , like the baltic states , georgia and central asia . as a result , the recent incident in ukraine is likely to dominate the discussions of the two-day osce meeting in the bulgarian capital of sofia .","the creeping western influence into corners of europe previously considered by russia as its backyard , such as the baltic states , georgia , and central asia , has long disgruntled russia . thus , recent incidents in ukraine will probably dominate the two-day osce meeting to be held in sofia , the capital city of bulgaria .",0.6897,1,"西方 的 势力 逐渐 伸 入 欧洲 一些 原本 被 俄国 视为 其 后院 的 角落 , 例如 波罗的海 各国 , 乔治亚 和 中亚 , 早已 令 俄国 颇为 不满 , 因此 欧 安 组织 这 次 在 保加利亚 首都 索非亚 举行 两天 会议 时 , 乌克兰 最近 的 事件 可能 成为 重要 议题 . the creeping western influence into corners of europe previously considered by russia as its backyard , such as the baltic states , georgia , and central asia , has long disgruntled russia . thus , recent incidents in ukraine will probably dominate the two-day osce meeting to be held in sofia , the capital city of bulgaria .",0.47946330148538413,0.3367414087371053,0.22767515023714233
25,"乌克兰 的 最高法院 已 作出 戏剧性 的 判决 , 谕 令 最近 举行 的 总统 选举 第 二轮 决 选 重新 投票 , 而 在此 之前 , 欧洲 联盟 就 已 呼吁 欧 安 组织 的 会员国 , 准备 让 观察员 "" 以 最 快速度 和 效率 行动 "" .","ukraine's supreme court has made a dramatic ruling to order a re-voting of the recent second-round presidential election . and before this , the european union had called on member states of the osce to ask their observers to get ready for "" the quickest and efficient actions "" .","the supreme court of ukraine has made the dramatic decision to order a rerun of the recent runoff of the presidential election . prior to that , the european union has already appealed to the osce member states to prepare their observers to "" take action as quickly and efficiently as possible . """,0.5926,1,"乌克兰 的 最高法院 已 作出 戏剧性 的 判决 , 谕 令 最近 举行 的 总统 选举 第 二轮 决 选 重新 投票 , 而 在此 之前 , 欧洲 联盟 就 已 呼吁 欧 安 组织 的 会员国 , 准备 让 观察员 "" 以 最 快速度 和 效率 行动 "" . the supreme court of ukraine has made the dramatic decision to order a rerun of the recent runoff of the presidential election . prior to that , the european union has already appealed to the osce member states to prepare their observers to "" take action as quickly and efficiently as possible . """,0.42296084571634357,0.277886160749998,0.14183862599229707
26,"欧洲 人士 透露 , 在 乌克兰 预定 十二月 二十六日 举行 的 重新 决 选 中 , 欧 安 组织 派遣 的 观察员 人数 可能 由 原本 的 六百 人 增 至 一千 人 .","according to european sources , the number of osce observers will increase to 1000 from the original 600 in ukraine's re-election scheduled for december 26th .",europeans revealed that the number of observers dispatched by osce to the election rerun in ukraine scheduled to be held on december 26 would increase from the original 600 to 1000 .,0.5312,1,"欧洲 人士 透露 , 在 乌克兰 预定 十二月 二十六日 举行 的 重新 决 选 中 , 欧 安 组织 派遣 的 观察员 人数 可能 由 原本 的 六百 人 增 至 一千 人 . europeans revealed that the number of observers dispatched by osce to the election rerun in ukraine scheduled to be held on december 26 would increase from the original 600 to 1000 .",0.32065960245275876,0.22079498499806208,0.13722164630327335
27,"美国 国务卿 鲍尔 将 会 参加 欧 安 组织 这 次年 会 , 这 可能 是 他 卸任 前 最后 一次 出访 .","us secretary of state powell will attend osce's annual meeting , which is perhaps his last foreign tour before leaving office .","u.s. secretary of state powell will attend this osce annual meeting , which may be his last foreign visit before leaving office .",0.6538,1,"美国 国务卿 鲍尔 将 会 参加 欧 安 组织 这 次年 会 , 这 可能 是 他 卸任 前 最后 一次 出访 . u.s. secretary of state powell will attend this osce annual meeting , which may be his last foreign visit before leaving office .",0.6608773662947101,0.5752378317359488,0.46510525353550475
28,"俄国 外长 拉夫 罗 夫 , 法国 外长 巴尼 耶 , 英国 外 相 史 卓 和 德国 外长 费 雪 也 将 与会 .","russian foreign minister lavrov , french foreign minister barnier , british foreign minister straw and german foreign minister fischer will also be attending the meeting .","russian foreign minister lavrov , french foreign minister barnier , british foreign secretary straw , and german foreign minister fischer will also attend the meeting .",0.8846,1,"俄国 外长 拉夫 罗 夫 , 法国 外长 巴尼 耶 , 英国 外 相 史 卓 和 德国 外长 费 雪 也 将 与会 . russian foreign minister lavrov , french foreign minister barnier , british foreign secretary straw , and german foreign minister fischer will also attend the meeting .",0.8199437128899106,0.767339140012701,0.7094521095075528
29,"欧 安 组织 的 成员 包括 北美 , 欧洲 和 亚洲 的 五十 五个 国家 , 明年 将 庆祝 成立 三十 周年 .","the osce groups the 55 states of north america , europe and asia . it will celebrate the 30th anniversary of its founding next year .","osce members , including north america , europe and asia , the five countries will celebrate its 30th anniversary next year . ",0.6064,0,"欧 安 组织 的 成员 包括 北美 , 欧洲 和 亚洲 的 五十 五个 国家 , 明年 将 庆祝 成立 三十 周年 . osce members , including north america , europe and asia , the five countries will celebrate its 30th anniversary next year . ",0.46822961761173554,0.36105268554537673,0.27868678767958394
30,"这个 组织 当年 是 在 赫尔辛基 举行 的 会议 成立 , 对 结束 冷战 有 其 贡献 .","the organization was established at the helsinki conference , which helped end the cold war .",the organization was established at the helsinki conference that very year and contributed to the ending of the cold war .,0.5714,1,"这个 组织 当年 是 在 赫尔辛基 举行 的 会议 成立 , 对 结束 冷战 有 其 贡献 . the organization was established at the helsinki conference that very year and contributed to the ending of the cold war .",0.5345224838248488,0.4971512695149139,0.44749354154971166
31,布 希 大 考验 情报 改革 法案 本 周 面临 国会 表决,bush's major test : intelligence reform bill to face congressional vote this week,bush test intelligence reform bill this week will face ,0.4987,0,布 希 大 考验 情报 改革 法案 本 周 面临 国会 表决 bush test intelligence reform bill this week will face ,0.357849197878016,0.23074074943744335,3.739120513288037e-78
32,"美国国会 本 周 将 全力 通过 的 情报 改革 法案 是 共和党 布 希 总统 推动 第 二 任期 雄心勃勃 的 施政 计划 , 他 在 共和党 国会议员 间 的 支持 度 是 连任 后 首次 面临 重大 考验 .","the intelligence reform bill the us congress will take efforts to pass this week is part of an ambitious second-term agenda pushed by republican president bush , whose support level among republican congressmen will be his first major test after re-election .",the u.s. congress will push hard to pass the intelligence overhaul bill this week . the bill is an ambitious second-term agenda for republican president bush . his support among the republican congressmen will face its first major test after his reelection .,0.6304,1,"美国国会 本 周 将 全力 通过 的 情报 改革 法案 是 共和党 布 希 总统 推动 第 二 任期 雄心勃勃 的 施政 计划 , 他 在 共和党 国会议员 间 的 支持 度 是 连任 后 首次 面临 重大 考验 . the u.s. congress will push hard to pass the intelligence overhaul bill this week . the bill is an ambitious second-term agenda for republican president bush . his support among the republican congressmen will face its first major test after his reelection .",0.4741373235154427,0.3240917492073013,0.2013893134650782
33,"负责 调查 二 ○ ○ 一年 九月 十一日 美国 纽约 和 华 府 遭受 恐怖 攻击 的 前 共和党 新泽西 州 州长 基 恩 , 昨天 接受 报纸 访问 时 说 , 情报 改革 法案 的 问题 , 在于 它 要 经 国会 通过 , 单单 这 件 事 对 未来 两 党 合作 及 总统 的 国内 施政 议题 就 有 不良 徵兆 .","in a newspaper interview yesterday , kean , the republican who led the investigation into the september 11 , 2001 attacks on new york and washington , said the issue with the intelligence reform bill was that it has to be passed by the congress and that the matter itself augurs ill for bipartisan cooperation and the president's domestic agenda .","investigation on 11 september 2001 in new york and washington suffered from terrorist attacks in new jersey of the republican party , the newspaper yesterday said that intelligence reform bills , because it is subject to congressional approval , this case alone for future cooperation between the two parties and the domestic policy issues in a bad sign . ",0.5407,0,"负责 调查 二 ○ ○ 一年 九月 十一日 美国 纽约 和 华 府 遭受 恐怖 攻击 的 前 共和党 新泽西 州 州长 基 恩 , 昨天 接受 报纸 访问 时 说 , 情报 改革 法案 的 问题 , 在于 它 要 经 国会 通过 , 单单 这 件 事 对 未来 两 党 合作 及 总统 的 国内 施政 议题 就 有 不良 徵兆 . investigation on 11 september 2001 in new york and washington suffered from terrorist attacks in new jersey of the republican party , the newspaper yesterday said that intelligence reform bills , because it is subject to congressional approval , this case alone for future cooperation between the two parties and the domestic policy issues in a bad sign . ",0.26857283966447115,0.13744490287462832,0.08060160900180169
34,"基 恩 说 : "" 如果 总统 和 国会 不能 处理 好 这些 大 问题 , 国会 就 会 变得 功能 不 彰 , 那样 我们 都 会 有 麻烦 . """,""" congress becomes dysfunctional if the president and congress can't get these big issues taken care of , and then we ' re all in trouble , "" kean said .",""" if the president and congress could not handle these problems , the parliament will become functional , and we will have trouble . "" ",0.4405,0,"基 恩 说 : "" 如果 总统 和 国会 不能 处理 好 这些 大 问题 , 国会 就 会 变得 功能 不 彰 , 那样 我们 都 会 有 麻烦 . "" "" if the president and congress could not handle these problems , the parliament will become functional , and we will have trouble . "" ",0.2707535577794145,0.1991054189729966,0.1526093154997984
35,"他 告诉 纽约 每日 新闻 报 : "" 我们 就 得 等 很 久 才 会 有 另 一个 法案 , 能 得到 参 众 两 院 共和 与 民主党 领袖 的 支持 , 以及 民意 百分之 八十 的 支持 度 . """,""" it ' ll be a long time before there's another bill with the support of the republican and democratic leadership in both houses and the support of 80% of the american people in the polls , "" he told the new york daily news .","he told the new york daily news : "" we have to wait long before another bill , senate republican and democratic leaders , and 80 percent of the public support . "" ",0.4560,0,"他 告诉 纽约 每日 新闻 报 : "" 我们 就 得 等 很 久 才 会 有 另 一个 法案 , 能 得到 参 众 两 院 共和 与 民主党 领袖 的 支持 , 以及 民意 百分之 八十 的 支持 度 . "" he told the new york daily news : "" we have to wait long before another bill , senate republican and democratic leaders , and 80 percent of the public support . "" ",0.31112471126326974,0.23621738438306764,0.1843961898231481
